"animals","condition","elevator","lat","lon","quarter","price","rooms","size","url","distance_to_bud_center","nearest_stop_distance","nearest_stop_distance_rail"
"no","newly built","yes",47.5101199,19.0936737,14,148000,2,60,"https://ingatlan.jofogas.hu/budapest/07_01_tol_belvarosi__2_szobas_berendezett_lakas_kiado__78985214.htm",3736.25919996539,159.110630274927,427.367256146761
"no","renovated","no",47.5498939,19.1262642,15,170000,2,100,"https://ingatlan.jofogas.hu/budapest/100m2__es_2_5_szobas_lakas_Rakospalotan_kiado_65160858.htm",8514.90768657514,66.3757866621022,361.283172062517
NA,"good","yes",47.501195,19.0711858,7,190000,3,106,"https://ingatlan.jofogas.hu/budapest/106_nm_es__3_szobas__butorozott__gepesitett_lakas_a_VII__Kerulet__Izab_75782537.htm",1775.89446704698,144.387151569119,202.925351488672
NA,"good","yes",47.501195,19.0711858,7,190000,3,106,"https://ingatlan.jofogas.hu/budapest/106_nm_es__3_szobas__butorozott__gepesitett_lakas_a_VII__Kerulet__Izab_76160879.htm",1775.89446704698,144.387151569119,202.925351488672
"only small pets","good","yes",47.4950949,19.0539535,5,372132,3,106,"https://ingatlan.jofogas.hu/budapest/106_nm_es_lakas_kiado_Budapest_5__ker___2269814_75833151.htm",347.344435450964,93.3189560030181,273.489777810474
"no","good","yes",47.4926686,19.0667297,8,280000,4,110,"https://ingatlan.jofogas.hu/budapest/110nm__4_emeleti_elegans_nagypolgari_cirkos_lakas_kiado_77572477.htm",1154.03375071452,318.799225955183,328.920994281639
"only small pets","good","yes",47.5175394,19.0568947,13,470000,3,113,"https://ingatlan.jofogas.hu/budapest/113_nm_es_lakas_kiado_Budapest_13__ker___2109544_71930842.htm",2817.95414854338,107.468856810899,284.095221913384
"only small pets","good","no",47.5582217,19.0116894,3,502768,3,113,"https://ingatlan.jofogas.hu/budapest/113_nm_es_lakas_kiado_Budapest_3__ker___2019927_77837696.htm",7901.32728602476,124.158488825995,1738.30943298508
"yes","renovated","yes",47.5410475,19.1453434,15,50000,2,15,"https://ingatlan.jofogas.hu/budapest/1157_Zsokavar_utca_46_78190657.htm",8893.94512480493,164.086235593215,167.15205974284
"only small pets","good","no",47.5256674,19.1639994,16,110000,2,46,"https://ingatlan.jofogas.hu/budapest/1161_Szent_Korona_U__2_78483036.htm",9237.51077292352,188.487549467884,2085.44541312706
"only small pets","renovated","no",47.4763568,19.0224196,11,160000,2,50,"https://ingatlan.jofogas.hu/budapest/11__ker__Villanyi_utnal_kiado_igenyesen_felujitott_berendezett_lakas_78848393.htm",2824.69010291784,313.70839404694,789.426465639361
"no","renovated","no",47.4603112,19.035352,11,180000,3,80,"https://ingatlan.jofogas.hu/budapest/11__keruletben_3_szobas_felujitott_lakas_kiado__78113807.htm",3780.94718267682,95.5892456332173,417.914104568399
"no","good","no",47.4763568,19.0224196,11,140000,1,50,"https://ingatlan.jofogas.hu/budapest/11__keruletben__Sasadon__kulonnyilo_szobas__erkelyes__portaszolgalat__78322197.htm",2824.69010291784,313.70839404694,789.426465639361
"no","good","no",47.4191619,19.0229134,22,180000,3,120,"https://ingatlan.jofogas.hu/budapest/120_m2_es_lakas_Budafok_Haros_u_78636949.htm",8440.6265314035,214.564245739387,1495.8973130198
"only small pets","good","no",47.5151367,19.0187187,2,380000,3,128,"https://ingatlan.jofogas.hu/budapest/128_nm_es_lakas_kiado_Budapest_2__ker___2420778_79228513.htm",3519.37017509236,256.5987527037,719.253242120453
"no","renovated","yes",47.5029169,19.0149949,12,250000,3,81,"https://ingatlan.jofogas.hu/budapest/12__kerulet_Varosmajor_utca_lakas_tulajdonostol_kiado__76290284.htm",2972.68814900466,101.894779122291,680.821115900545
"yes","good","no",47.4943918,19.0260055,12,150000,2,58,"https://ingatlan.jofogas.hu/budapest/12__keruleti_lakas_kiado__MOM_park__TF_kozeleben_78132595.htm",1920.81831656333,98.4736031273421,200.040812669987
"no","renovated","no",47.5084577,19.0016204,12,210000,4,94,"https://ingatlan.jofogas.hu/budapest/12_ker_Kutvolgyi_u__kiado_felujitott__4_szobas__butorozatlan_lakas_77741047.htm",4143.03814666465,163.176115768571,220.014489674388
"only small pets","newly built","yes",47.529778,19.0808857,13,119000,1,32,"https://ingatlan.jofogas.hu/budapest/13_Kisgomb_u_14_16_76963441.htm",4705.26459570807,47.5328437037084,47.5328437037084
"no","renovated","yes",47.5175394,19.0568947,13,140000,2,53,"https://ingatlan.jofogas.hu/budapest/13_Pozsonyi_uton_Palatinus_hazban_53_nm_lakas_kiado_78880267.htm",2817.95414854338,107.468856810899,284.095221913384
